Label Name,Data Type,Array Setting,Class,Assign (Device/Label),Initial Value,Constant,Comment
Silo_S01_Temp_Raw,INT,,VAR_GLOBAL,D100,,,Temp raw ×10 ถัง S01 (เช่น 275=27.5°C)
Silo_S01_CO2_Raw,INT,,VAR_GLOBAL,D200,,,CO₂ ppm ถัง S01
Silo_S01_Moist_Raw,INT,,VAR_GLOBAL,D300,,,Moisture raw ×10 ถัง S01 (เช่น 142=14.2%)
Silo_S01_Fan,INT,,VAR_GLOBAL,D400,,,"Fan status ถัง S01 (0=ปิด, 1=เปิด)"
Silo_S01_Fault,INT,,VAR_GLOBAL,D500,,,"Sensor fault ถัง S01 (0=OK, 1=Fault)"
Silo_S02_Temp_Raw,INT,,VAR_GLOBAL,D101,,,Temp raw ×10 ถัง S02 (เช่น 275=27.5°C)
Silo_S02_CO2_Raw,INT,,VAR_GLOBAL,D201,,,CO₂ ppm ถัง S02
Silo_S02_Moist_Raw,INT,,VAR_GLOBAL,D301,,,Moisture raw ×10 ถัง S02 (เช่น 142=14.2%)
Silo_S02_Fan,INT,,VAR_GLOBAL,D401,,,"Fan status ถัง S02 (0=ปิด, 1=เปิด)"
Silo_S02_Fault,INT,,VAR_GLOBAL,D501,,,"Sensor fault ถัง S02 (0=OK, 1=Fault)"
Silo_S03_Temp_Raw,INT,,VAR_GLOBAL,D102,,,Temp raw ×10 ถัง S03 (เช่น 275=27.5°C)
Silo_S03_CO2_Raw,INT,,VAR_GLOBAL,D202,,,CO₂ ppm ถัง S03
Silo_S03_Moist_Raw,INT,,VAR_GLOBAL,D302,,,Moisture raw ×10 ถัง S03 (เช่น 142=14.2%)
Silo_S03_Fan,INT,,VAR_GLOBAL,D402,,,"Fan status ถัง S03 (0=ปิด, 1=เปิด)"
Silo_S03_Fault,INT,,VAR_GLOBAL,D502,,,"Sensor fault ถัง S03 (0=OK, 1=Fault)"
Silo_S04_Temp_Raw,INT,,VAR_GLOBAL,D103,,,Temp raw ×10 ถัง S04 (เช่น 275=27.5°C)
Silo_S04_CO2_Raw,INT,,VAR_GLOBAL,D203,,,CO₂ ppm ถัง S04
Silo_S04_Moist_Raw,INT,,VAR_GLOBAL,D303,,,Moisture raw ×10 ถัง S04 (เช่น 142=14.2%)
Silo_S04_Fan,INT,,VAR_GLOBAL,D403,,,"Fan status ถัง S04 (0=ปิด, 1=เปิด)"
Silo_S04_Fault,INT,,VAR_GLOBAL,D503,,,"Sensor fault ถัง S04 (0=OK, 1=Fault)"
Silo_S05_Temp_Raw,INT,,VAR_GLOBAL,D104,,,Temp raw ×10 ถัง S05 (เช่น 275=27.5°C)
Silo_S05_CO2_Raw,INT,,VAR_GLOBAL,D204,,,CO₂ ppm ถัง S05
Silo_S05_Moist_Raw,INT,,VAR_GLOBAL,D304,,,Moisture raw ×10 ถัง S05 (เช่น 142=14.2%)
Silo_S05_Fan,INT,,VAR_GLOBAL,D404,,,"Fan status ถัง S05 (0=ปิด, 1=เปิด)"
Silo_S05_Fault,INT,,VAR_GLOBAL,D504,,,"Sensor fault ถัง S05 (0=OK, 1=Fault)"
Silo_S06_Temp_Raw,INT,,VAR_GLOBAL,D105,,,Temp raw ×10 ถัง S06 (เช่น 275=27.5°C)
